SiteID,Address,SMS No.,Serial No.,DMA,Latitude,Longitude,X,Y,App Notes,Status,Battery,Level,Spread,Threshold,Filter Type,Low Cutoff (Hz),High Cutoff (Hz),Sensor Type,Leak Duration (Days),Signal,Last received,Internal status,Internal Status Date,Last Note,Last Note Date,Last Note Created By,Logger mode,Created time,Leak Date,Last Leak Date, EasyID, Status Duration, Overdue Status,LNS Check Required,Accounts List,UTC
7289390," Pepys Gate,, Greenwich, London SE10 9LW, UK",4.47452E+13,55817,DMA - ZRIVSE03,51.48248493,-0.009098053,538341.3879,177826.9008,,Leak,6.8V,29,4,15,Not Applied,,,,10,15,44652.14583,31489071dry,44271.49306,,44201.37431,Justin Martin (Justin_Martin),Awaiting repair,43888.50625,,44643.14583,,Awaiting repair 308 days,308 days overdue ,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE03,0
1721985," Bell house, Haddo st  Greenwich, London SE10 9RJ, UK",4.47452E+13,57238,DMA - ZRIVSE03,51.48059112,-0.014021248,538005.2732,177607.0219,,Leak,6.8V,44,3,15,Not Applied,,,,128,8,44652.14583,,,"Logger hearing Leaking pressure cap on Hydrant outside Bell house, Haddo ,SE10.
",,,Investigation Cleared,43879.41042,,44525.14583,,,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE03,0
1711517," Washington Bldg, Deals Gateway, Deptford, London SE13 7SE, UK",4.47924E+13,25985,DMA - ZRIVSE03,51.47339081,-0.02164308,537497.6867,176792.008,,Leak,6.3V,27,6,15,Not Applied,,,,4,13,44652.14583,,,31062566,44543.39375,Sinead Johnston (SJPNDALYS2021),Awaiting repair,43873.57639,,44649.14583,,,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE03,0
7050992," 7 Durnford St, Greenwich, London SE10 9BF, UK",4.47925E+13,41914,DMA - ZRIVSE03,51.48152592,-0.009385049,538324.3608,177719.7165,,No Leak,6.2V,14,12,15,Not Applied,,,,0,5,44652.14583,45SDZH,44368.39167,,,,Auto,43847.46667,,,,,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE03,0
7046257,Piper House_ Collington St_Greenwich SE10 9LU,4.47925E+13,3277,DMA - ZRIVSE04,51.48573344,0.000538118,539000.5746,178206.3802,not cable tied ,No Leak,,9,3,15,Not Applied,,,,0,0,44648.14583,31763225,44630.41944,,,,Awaiting repair,43810.97083,,,,Awaiting repair 22 days,22 days overdue ,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE04,0
7047150,"67 Azof Street, Greenwich, London SE10 0EG, UK",4.47925E+13,3315,DMA - ZRIVSE04,51.48887129,0.004457496,539263.1308,178562.7567,,Leak,5.9V,38,5,15,Not Applied,,,,37,5,44650.14583,,,,,,Investigation Ongoing,43794.55903,,44616.14583,,Investigation Ongoing 43 days,43 days overdue ,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE04,0
1721439," Herbaceous Border, Greenwich, London SE10 9JL, UK",4.47924E+11,44682,DMA - ZRIVSE03,51.47995406,-0.005793236,538578.514,177551.7111,,No Leak,4.6V,14,10,15,Not Applied,,,,0,9,44489.14583,,,,,,Auto,43784.34931,,,,,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE03,0
1720248," 78 Christchurch Way, Greenwich, London SE10 0AE, UK",4.47452E+13,58578,DMA - ZRIVSE04,51.48826951,0.004495753,539267.6191,178495.9097,deployed in the same asset as 45704 for a test for HWM,Leak,6.4V,30,6,15,Not Applied,,,,37,6,44650.14583,,44630.39028,,,,Investigation Ongoing,43532.36319,,44616.14583,,Investigation Ongoing 43 days,43 days overdue ,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE04,0
1720247," 50 Christchurch Way, Greenwich, London SE10 0AB, UK",4.47925E+13,37398,DMA - ZRIVSE04,51.48740723,0.004434852,539266.0167,178399.9082,,No Leak,6.7V,17,10,15,Low Pass,,390,,0,5,44647.14583,,,,43966.45694,Justin Martin (Justin_Martin),Auto,43530.47708,,,,Auto 58 days,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE04,0
7443100,"51 Banning St, London SE10 0NY, UK",4.47452E+13,56778,DMA - ZRIVSE04,51.48751148,0.002877673,539157.5933,178408.5418,,No Leak,5.7V,10,4,15,Not Applied,,,,0,21,44652.14583,,44567.37361,,,,Auto,43487.17917,,,,Auto 66 days,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE04,0
7046372," 21 Whitworth St, London SE10 9EQ, UK",4.47925E+13,3995,DMA - ZRIVSE04,51.485568,0.005656173,539356.4096,178197.7062,,No Leak,4.2V,11,10,15,Not Applied,,,,0,21,44652.14583,31632325,44355.57986,,,,Auto,43286.47917,,,,Auto 231 days,,,Thames Water Utilities Leakage|DMA - ZRIVSE04|Thames Water Pnet Installed 2017|South london,0
8430406," 8 Lovibond Ln, London SE10 9FY, UK",4.47452E+13,53847,DMA - ZRIVSE03,51.4775782,-0.01663506,537832.8596,177267.0608,,Leak,,41,7,15,Low Pass,,340,,14,0,44646.14583,f,44089.58194,,,,Auto,43236.63194,,44639.14583,,Auto 13 days,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE03,0
7047157," 58 Christchurch Way, London SE10 0AB, UK",4.47925E+13,4039,DMA - ZRIVSE04,51.48719207,0.004448452,539267.616,178376.0079,,Leak,5.4V,28,7,15,Not Applied,,,,3,6,44651.14583,81GTZS / 31733370,44630.34792,,44356.56875,Justin Martin (Justin_Martin),Awaiting repair,43236.62569,,44650.14583,,Awaiting repair 22 days,22 days overdue ,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE04,0
1720962," 84 Pelton Rd, London SE10 9PQ, UK",4.47452E+13,59763,DMA - ZRIVSE04,51.486392,0.005904101,539371.1118,178289.8078,,No Leak,3.6V,14,11,15,Not Applied,,,,0,13,44652.14583,31632325d,44389.38611,,,,Auto,43223.64514,,,,Auto 263 days,,,Thames Water Utilities Leakage|DMA - ZRIVSE04|Thames Water Pnet Installed 2017|South london,0
1720854," 20 Whitworth St, London SE10 9EN, UK",4.47924E+11,44946,DMA - ZRIVSE04,51.48546022,0.005753702,539363.5092,178185.9061,,No Leak,4.8V,11,19,15,Not Applied,,,,0,17,44652.14583,t 31620509,44330.36667,,,,Auto,43223.49375,,,, 322 days,,,Thames Water Utilities Leakage|DMA - ZRIVSE04|Thames Water Pnet Installed 2017|South london,0
1710877," co-op Deptford Bridge, London SE8 4HH, UK",4.47924E+13,23393,DMA - ZRIVSE03,51.47437351,-0.022023674,537468.3039,176900.5716,,No Leak,6.5V,13,18,15,Not Applied,,,,0,11,44652.14583,,,,,,Auto,43216.52222,,,0,,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|DMA - ZRIVSE03|South london,0
1721508," 210-218 Trafalgar Rd, Greenwich, London SE10 9ER, UK",4.47452E+13,58217,DMA - ZRIVSE04,51.48550353,0.006481531,539413.9084,178192.1069,Hydrant on FW,Leak,3.9V,49,6,15,Not Applied,,,,63,13,44652.14583,,,,,,Awaiting repair,43214.64931,,44590.14583,,Awaiting repair 834 days,834 days overdue ,,Thames Water Utilities Leakage|DMA - ZRIVSE04|Thames Water Pnet Installed 2017|South london,0
1722798," 18 Highbridge Wharf, London SE10 9PS, UK",4.47925E+13,35922,DMA - ZRIVSE04,51.48517967,-0.002626877,538782.5187,178138.7989,,No Leak,5.7V,9,6,15,Not Applied,,,,0,5,44652.14583,,,,,,Auto,43214.64653,,,,,,,Thames Water Utilities Leakage|DMA - ZRIVSE04|Thames Water Pnet Installed 2017|South london,0
1715783," 10 Rodmere St, Greenwich, London SE10 9EF, UK",4.47452E+13,53799,DMA - ZRIVSE04,51.48480647,0.007696766,539500.4047,178116.9068,,No Leak,6.3V,8,3,15,Not Applied,,,,0,21,44652.14583,t,44140.44236,,,,Auto,43214.64583,,,, 511 days,,,Thames Water Utilities Leakage|DMA - ZRIVSE04|Thames Water Pnet Installed 2017|South london,0
1715283," 27 Blackwall Ln, Greenwich, London SE10 0AN, UK",4.47452E+13,56292,DMA - ZRIVSE04,51.4877806,0.007486269,539476.7208,178447.2329,,No Leak,6.4V,18,15,15,Not Applied,,,,0,8,44652.14583,t,44630.44931,,44630.44931,Justin Martin (Justin_Martin),Auto,43214.64583,,,,Auto 776 days,,,Thames Water Utilities Leakage|DMA - ZRIVSE04|Thames Water Pnet Installed 2017|South london,0
7293907," 53 Banning St, London SE10 0TA, UK",4.47452E+13,58082,DMA - ZRIVSE04,51.48759286,0.002825653,539153.7342,178417.4926,,No Leak,5.4V,8,19,15,Not Applied,,,,0,9,44652.14583,,,,,,Investigation Ongoing,43213.58958,,,,Investigation Ongoing 843 days,843 days overdue ,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE04,0
1712621," 94 Greenwich High Rd, Greenwich, London SE10 8JE, UK",4.47452E+13,57160,DMA - ZRIVSE03,51.47659299,-0.016866736,537819.7396,177157.0685,,Leak,6.1V,24,7,15,Not Applied,,,,36,16,44652.14583,possibly listening to pumping station at poi - Matt [3-11-20],44638.57986,,,,Investigation Cleared,43213.58889,,44617.14583,,Investigation Cleared 13 days,13 days overdue ,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE03,0
1722196,"266 Lewisham Rd, London SE13 7LB, UK",8.8236E+14,149069,DMA - ZRIVSE02,51.4673563,-0.011795685,538199.7688,176139.4893,FH in parking area outside number 198,Leak,6.5V,31,3,15,Not Applied,,,,567,6,44652.14583,,44428.38958,24191997,44608.38125,Sinead Johnston (SJPNDALYS2021),Awaiting repair,43213.58194,,44086.14583,,Awaiting repair 442 days,442 days overdue ,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE02,0
1722743," 1 Orlop St, London SE10 9AB, UK",4.47452E+13,55401,DMA - ZRIVSE04,51.48490931,0.003049086,539177.4111,178119.5029,,No Leak,5.5V,18,6,15,Not Applied,,,,0,7,44652.14583,31731359,44630.34444,,,,Awaiting repair,43209.61944,,,,Awaiting repair 58 days,58 days overdue ,,Thames Water Utilities Leakage|DMA - ZRIVSE04|Thames Water Pnet Installed 2017|South london,0
1721573," 18 Braddyll St, Greenwich, London SE10 9AE, UK",4.47452E+13,59273,DMA - ZRIVSE04,51.48584164,0.001956436,539098.7151,178221.1035,,No Leak,6.7V,14,8,15,Not Applied,,,,0,9,44652.14583,TW works ongoing in vicinity,43747.27222,80LZKD,43866.475,Justin Martin (Justin-TW),Auto,43209.61875,,,,Auto 872 days,,,Thames Water Utilities Leakage|DMA - ZRIVSE04|Thames Water Pnet Installed 2017|South london,0
1720867," 3 Trenchard St, London SE10 9PA, UK",4.47452E+13,59288,DMA - ZRIVSE04,51.48401333,-0.000307179,538947.1131,178013.4982,,No Leak,6.1V,8,2,15,Not Applied,,,,0,13,44652.14583,,,,,,Auto,43209.61875,,,,,,,Thames Water Utilities Leakage|DMA - ZRIVSE04|Thames Water Pnet Installed 2017|South london,0
1720863," 61 Hoskins St, London SE10 9PB, UK",4.47925E+13,42695,DMA - ZRIVSE04,51.48535297,-0.000342139,538940.6167,178162.4006,Hydrant on FW,No Leak,3.6V,7,3,15,Notch,0,450,,0,11,44652.14583,,,Electrical,44039.37778,Justin Martin (Justin_Martin),Auto,43209.61875,,,,Auto 647 days,,,Thames Water Utilities Leakage|DMA - ZRIVSE04|Thames Water Pnet Installed 2017|South london,0
1721857," Manilla Walk, London SE10 0UT, UK",4.47452E+13,58162,DMA - ZRIVSE04,51.48951331,0.004648313,539274.4226,178634.5119,,Leak,3.7V,51,7,15,Not Applied,,,,82,6,44651.14583,31549897,44428.35625,,44356.57847,Justin Martin (Justin_Martin),Awaiting repair,43209.61875,,44571.14583,,Awaiting repair 295 days,295 days overdue ,,Thames Water Utilities Leakage|DMA - ZRIVSE04|Thames Water Pnet Installed 2017|South london,0
1722432," 2 Greenwich Park St, London SE10 9AA, UK",4.47924E+13,28259,DMA - ZRIVSE04,51.48424184,-0.000840162,538909.4144,178037.8981,,No Leak,6.3V,13,10,15,Not Applied,,,,0,13,44652.14583,,,,,,Auto,43209.61806,,,,Auto 79 days,,,Thames Water Utilities Leakage|DMA - ZRIVSE04|Thames Water Pnet Installed 2017|South london,0
7190257," Trafalgar Rd, London SE10 9PR, UK",4.47452E+13,58798,DMA - ZRIVSE04,51.48506321,0.004100529,539249.9424,178138.6147,,No Leak,4.7V,12,14,15,Not Applied,,,,0,17,44652.14583,,,,,,Auto,43209.61806,,,,Auto 776 days,,,Thames Water Utilities Leakage|DMA - ZRIVSE04|Thames Water Pnet Installed 2017|South london,0
1722080," 122 Old Woolwich Rd, Greenwich, London SE10 9PR, UK",4.47452E+13,54078,DMA - ZRIVSE04,51.4851012,0.001975826,539102.313,178138.8022,,No Leak,5.1V,14,6,15,Not Applied,,,,0,13,44652.14583,,,,,,Auto,43209.61736,,,,,,,Thames Water Utilities Leakage|DMA - ZRIVSE04|Thames Water Pnet Installed 2017|South london,0
7045946," 14 Banning St, London SE10 9PH, UK",4.47452E+13,53705,DMA - ZRIVSE04,51.48612083,0.001510646,539066.9165,178251.3036,,No Leak,,8,6,15,Not Applied,,,,0,0,44649.14583,,44274.47014,31574075d,,,Auto,43209.61667,,,,Auto 377 days,,,Thames Water Utilities Leakage|DMA - ZRIVSE04|Thames Water Pnet Installed 2017|South london,0
7190374," 49 Banning St, London SE10, UK",4.47452E+13,50642,DMA - ZRIVSE04,51.48711298,0.002369878,539123.5521,178363.2632,Hydrant on FW,No Leak,5.1V,12,5,15,Not Applied,,,,0,11,44652.14583,,,,,,Investigation Ongoing,43209.61667,,,,,,,Thames Water Utilities Leakage|DMA - ZRIVSE04|Thames Water Pnet Installed 2017|South london,0
1715772," 79 Mauritius Rd, Greenwich, London SE10 0EH, UK",4.47925E+13,37030,DMA - ZRIVSE04,51.48918883,0.007776059,539492.5441,178604.3807,Hydrant on FW,No Leak,5.5V,19,10,15,Not Applied,,,,0,13,44652.14583,"Noise because FH open , pressure cap installed. - Hector",44103.37014,,44146.52222,Justin Martin (Justin_Martin),Investigation Cleared,43209.61597,,,,Investigation Cleared 22 days,22 days overdue ,,Thames Water Utilities Leakage|DMA - ZRIVSE04|Thames Water Pnet Installed 2017|South london,0
